Name,Runtime,Notes,GPU Type,GPU Count,State,Tags,Updated,ID,User,Group,Job Type,Created,End Time,Sweep,Hostname,Description,Commit,GitHub,epochs,latent_dimension,model,ae_input_days,batch_size,checkpoint,cnn_batchnorm,dataset,learning_rate,learning_rate_style,loss,noise,noise_pct,optimiser,optimiser_hyperparams,weight_decay,best_val_loss,epoch,train_loss,val_loss,cr
lemon-shadow-417,98,-,Tesla T4,2,finished,,2022-10-07T11:37:03.000Z,27l24mzu,syip0005,,,2022-10-07T11:35:25.000Z,2022-10-07T11:37:03.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,1800,AE,60,512,./model_param/state_9423200.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.024558296,1000,0.019739191,0.026062656,2
hardy-wind-416,750,-,Tesla T4,2,finished,,2022-10-07T11:35:18.000Z,2alzstlm,syip0005,,,2022-10-07T11:22:48.000Z,2022-10-07T11:35:18.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,1800,HAE2,60,512,./model_param/state_6263330.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.004179497,1000,0.000358521,0.005017528,2
robust-rain-415,539,-,Tesla T4,2,finished,,2022-10-07T11:22:41.000Z,2u55qati,syip0005,,,2022-10-07T11:13:42.000Z,2022-10-07T11:22:41.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,1800,SCSAE,60,512,./model_param/state_4594881.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.004311165,1000,0.000104004,0.0044147,2
sweet-fire-414,47,-,Tesla T4,2,finished,,2022-10-07T11:13:35.000Z,1w9us5px,syip0005,,,2022-10-07T11:12:48.000Z,2022-10-07T11:13:35.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,900,AE,60,512,./model_param/state_8695979.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.017803628,1000,0.010819422,0.018066261,4
crimson-tree-413,644,-,Tesla T4,2,finished,,2022-10-07T11:12:41.000Z,3u6tizw5,syip0005,,,2022-10-07T11:01:57.000Z,2022-10-07T11:12:41.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,900,HAE2,60,512,./model_param/state_5527683.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.003704515,1000,0.000422191,0.00447705,4
classic-waterfall-412,435,-,Tesla T4,2,finished,,2022-10-07T11:01:48.000Z,15ssjw8n,syip0005,,,2022-10-07T10:54:33.000Z,2022-10-07T11:01:48.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,900,SCSAE,60,512,./model_param/state_7913235.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.004739862,1000,0.000133658,0.004901379,4
curious-resonance-411,47,-,Tesla T4,2,finished,,2022-10-07T10:54:26.000Z,3lofkodg,syip0005,,,2022-10-07T10:53:39.000Z,2022-10-07T10:54:26.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,600,AE,60,512,./model_param/state_2425417.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.018670442,1000,0.01182582,0.018899471,6
stilted-star-410,617,-,Tesla T4,2,finished,,2022-10-07T10:53:32.000Z,uph91h2b,syip0005,,,2022-10-07T10:43:15.000Z,2022-10-07T10:53:32.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,600,HAE2,60,512,./model_param/state_8172307.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.003837497,1000,0.000519887,0.004153205,6
dark-paper-409,412,-,Tesla T4,2,finished,,2022-10-07T10:43:07.000Z,1ipa2cvj,syip0005,,,2022-10-07T10:36:15.000Z,2022-10-07T10:43:07.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,600,SCSAE,60,512,./model_param/state_3730938.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.00421564,1000,0.000138433,0.00421564,6
valiant-plant-408,48,-,Tesla T4,2,finished,,2022-10-07T10:36:08.000Z,3m9bw9ao,syip0005,,,2022-10-07T10:35:20.000Z,2022-10-07T10:36:08.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,450,AE,60,512,./model_param/state_5686170.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.019339675,1000,0.013431761,0.019673306,8
autumn-frost-407,603,-,Tesla T4,2,finished,,2022-10-07T10:35:12.000Z,1p94pz6h,syip0005,,,2022-10-07T10:25:09.000Z,2022-10-07T10:35:12.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,450,HAE2,60,512,./model_param/state_1958135.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.004270918,1000,0.000332525,0.0050989,8
jolly-microwave-406,398,-,Tesla T4,2,finished,,2022-10-07T10:25:02.000Z,3qieaqd2,syip0005,,,2022-10-07T10:18:24.000Z,2022-10-07T10:25:02.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,450,SCSAE,60,512,./model_param/state_5004243.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.004589406,1000,0.000139888,0.004692322,8
balmy-firefly-405,49,-,Tesla T4,2,finished,,2022-10-07T10:18:16.000Z,22z3wq9b,syip0005,,,2022-10-07T10:17:27.000Z,2022-10-07T10:18:16.000Z,,m3t101,,,https://github.com/syip0005/hybridcompression/tree/cc057378f0f4c1d63c4925e1c1c8c5c8165f6629,1000,200,AE,60,512,./model_param/state_2768134.pt,TRUE,DRED,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.019134125,1000,0.012538439,0.019216057,18
